Unique ID,Status of Request,Assigned To Name,Target Date for Deployment,Requestor Name,Requested For Name,New Workstation Name,Workstation Purpose,Permanent Location,Site Location,Support Team,System Point of Contact Name,System Custodian Name,System Owner Name,Cost Center_Budget Number-CIR,Budget Owner Name,Number of workstations being ordered,Secure Desktop
26,Work in Progress,Sreeraghu K V,28-Dec-22,Sreeraghu K V,,test,CDR-896,CDR-896,IDM,K_V_SREERAGHU@LILLY.COM,Uday Kumar Kankalapathi,Uday Kumar Kankalapathi,Uday Kumar Kankalapathi,CDR-896,Suparna Kumari,5,TRUE
25,Submitted,,,Sreeraghu K V,,,test,test,IDM,,,,,,,1,TRUE
24,Submitted,,,Sreeraghu K V,,,test,test,IndyAPI,,,,,,,1,TRUE
23,Submitted,,,Girish Kulakarni,,,vghvgh,vhgvhgvhg,IDAP,,,,,,,1,TRUE
22,Submitted,Sreeraghu K V,31-Dec-22,Girish Kulakarni,Sachin Kumar Shetty,02-Dec-23,test://@$%$%,test://@$%$%,GMS,K_V_SREERAGHU@LILLY.COM,Malashree B,Malashree B,Malashree B,test://@$%$%,Malashree B,5,TRUE
21,Submitted,,,Sreeraghu K V,,,test,test,IndyMQLC,,,,,,,1,TRUE
20,Submitted,,,Sreeraghu K V,,,test,test,Others,,,,,,,1,TRUE
19,Draft,,,Sreeraghu K V,,,,,,,,,,,,1,TRUE
18,Draft,,,Shaik Sadiq,,,,,Others,,,,,,,1,TRUE
17,Draft,,,Shaik Sadiq,,,,,,,,,,,,1,TRUE
16,Draft,,,Shaik Sadiq,Sreeraghu K V,,Test,Test,Others,,Sreeraghu K V,,,,,1,TRUE
15,Submitted,,,Sreeraghu K V,,,http://swe,http://swe,Others,,,,,http://swe,,1,TRUE
14,On Hold,Shaik Sadiq,30-Nov-22,Sreeraghu K V,,,CDR-957,CDR-957,IndyAPI,,,,,,,1,FALSE
13,Submitted,,,Shaik Sadiq,Sreeraghu K V,,Test,Test,ETC,,Malashree B,Malashree B,Malashree B,Test,Malashree B,10,TRUE
12,Work in Progress,Sreeraghu K V,30-Nov-22,Sreeraghu K V,,,CDR-436_TC959,CDR-436_TC959,Others,,,,,,,1,FALSE
11,Draft,,,Sreeraghu K V,,,https://12,https://12,Others,,,,,,,1,TRUE
10,Assigned,Sreeraghu K V,,Sreeraghu K V,Sachin Kumar Shetty,,Test,Test,Others,,Girish Kulakarni,Kelsee Wendling,Uday Kumar Kankalapathi,,Amy Reed,1,TRUE
9,Submitted,,,Sreeraghu K V,Shaik Sadiq,,"Random text test to check user is able to enter data in this textarea with all type of characters like 1234567890 and ~!@#$%^&()_+{}|"":<>?we knosw its weird but we have to test this till 200 chars;'/.","Random text test to check user is able to enter data in this textarea with all type of characters like 1234567890 and ~!@#$%^&()_+{}|"":<>?we know its weird but we have to test this till 200 chars;'/.s",GMS,,Namratha R,Kelsee Wendling,Uday Kumar Kankalapathi,"Random text test to check user is able to enter data in this textarea with all type of characters like 1234567890 and ~!@#$%^&()_+{}|"":<>?we know its weird but we have to test this till 200 chars;'/.r",Amy Reed,36,TRUE
8,Draft,,,Shaik Sadiq,,,,,,,,,,,,1,FALSE
7,Assigned,Shaik Sadiq,29-Nov-22,Shaik Sadiq,Sreeraghu K V,,test,test,GQL,,,,,,,1,FALSE
6,Assigned,Shaik Sadiq,30-Nov-22,Sachin Kumar Shetty,,,test,test,IDAP,,,,,,,1,FALSE
5,Assigned,Shaik Sadiq,,Sreeraghu K V,Sreeraghu K V,,CDR-434,CDR-434,IndyMQLC,,Uday Kumar Kankalapathi,Uday Kumar Kankalapathi,Kelsee Wendling,"Random text test to check user is able to enter data in this textarea with all type of characters like 1234567890 and ~!@#$%^&()+{}|"":<>?we know its weird but we have to test this till 200 chars;'/.cx",Malashree B,1,FALSE
4,Submitted,,,Girish Kulakarni,Girish Kulakarni,,test,test,Others,,Girish Kulakarni,Girish Kulakarni,Girish Kulakarni,bhbjhb,Girish Kulakarni,5,TRUE
3,Assigned,Namratha R,30-Nov-22,Sreeraghu K V,,,test,test,IndyAPI,,,,,,,1,FALSE
2,Draft,,,Shaik Sadiq,,,,,,,,,,,,1,FALSE
1,Work in Progress,Sreeraghu K V,30-Nov-22,Sreeraghu K V,Shaik Sadiq,TEST!23,test,test,Others,K_V_SREERAGHU@LILLY.COM,Sachin Kumar Shetty,Ritivika Pushkar,Kelsee Wendling,,Amy Reed,1,TRUE
